date,close_price,pre_close,trades,trade_count,start_pos,end_pos,turnover,commission,slippage,trading_pnl,holding_pnl,total_pnl,net_pnl,balance,return,highlevel,drawdown,ddpercent
2023-11-01,170.93,167.73,[],0,-100,-100,0.0,0.0,0.0,0.0,-320.0000000000017,-320.0000000000017,-320.0000000000017,1004674.9545,-0.00031846026182847205,1008108.8835,-3433.9290000000037,-0.34063076481162696
2023-11-02,174.53,170.93,[],0,-100,-100,0.0,0.0,0.0,0.0,-359.99999999999943,-359.99999999999943,-359.99999999999943,1004314.9545,-0.0003583890613293394,1008108.8835,-3793.9290000000037,-0.3763411931088299
2023-11-03,173.61,174.53,[],0,-100,-100,0.0,0.0,0.0,0.0,91.99999999999875,91.99999999999875,91.99999999999875,1004406.9545,9.16005343019551e-05,1008108.8835,-3701.9290000000037,-0.36721519476621134
2023-11-06,176.19,173.61,[],0,-100,-100,0.0,0.0,0.0,0.0,-257.9999999999984,-257.9999999999984,-257.9999999999984,1004148.9545,-0.0002569009906698822,1008108.8835,-3959.9290000000037,-0.3928076683792067
2023-11-07,178.78,176.19,"[TradeData(gateway_name='BACKTESTING', extra=None, symbol='AAPL', exchange=<Exchange.NASDAQ: 'NASDAQ'>, orderid='30', tradeid='28', direction=<Direction.LONG: 'Long'>, offset=<Offset.CLOSE: 'Close'>, price=176.14, volume=100, datetime=datetime.datetime(2023, 11, 7, 0, 0, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai'))), TradeData(gateway_name='BACKTESTING', extra=None, symbol='AAPL', exchange=<Exchange.NASDAQ: 'NASDAQ'>, orderid='31', tradeid='29', direction=<Direction.LONG: 'Long'>, offset=<Offset.OPEN: 'Open'>, price=176.14, volume=100, datetime=datetime.datetime(2023, 11, 7, 0, 0, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai')))]",2,-100,100,35228.0,17.614,2.0,528.000000000003,-259.00000000000034,269.0000000000026,249.3860000000026,1004398.3405,0.0002483247488395182,1008108.8835,-3710.542999999947,-0.3680696659588505
2023-11-08,179.85,178.78,[],0,100,100,0.0,0.0,0.0,0.0,106.99999999999932,106.99999999999932,106.99999999999932,1004505.3405,0.00010652576438890699,1008108.8835,-3603.542999999947,-0.3574557331038485
2023-11-09,179.37,179.85,[],0,100,100,0.0,0.0,0.0,0.0,-47.99999999999898,-47.99999999999898,-47.99999999999898,1004457.3405,-4.7785855320365645e-05,1008108.8835,-3651.542999999947,-0.36221712354347557
2023-11-10,183.6,179.37,[],0,100,100,0.0,0.0,0.0,0.0,422.999999999999,422.999999999999,422.999999999999,1004880.3405,0.0004210342644231962,1008108.8835,-3228.542999999947,-0.32025737029426216
2023-11-13,182.0,183.6,[],0,100,100,0.0,0.0,0.0,0.0,-159.99999999999943,-159.99999999999943,-159.99999999999943,1004720.3405,-0.00015923561516553548,1008108.8835,-3388.542999999947,-0.3361286717596857
2023-11-14,184.64,182.0,[],0,100,100,0.0,0.0,0.0,0.0,263.99999999999864,263.99999999999864,263.99999999999864,1004984.3405,0.0002627251695379601,1008108.8835,-3124.542999999947,-0.30994102434173687
2023-11-15,185.21,184.64,[],0,100,100,0.0,0.0,0.0,0.0,57.00000000000216,57.00000000000216,57.00000000000216,1005041.3405,5.671569329101136e-05,1008108.8835,-3067.542999999947,-0.3042868731946798
2023-11-16,186.91,185.21,[],0,100,100,0.0,0.0,0.0,0.0,169.99999999999886,169.99999999999886,169.99999999999886,1005211.3405,0.00016913296722543395,1008108.8835,-2897.542999999947,-0.28742361538766725
2023-11-17,186.89,186.91,[],0,100,100,0.0,0.0,0.0,0.0,-2.000000000001023,-2.000000000001023,-2.000000000001023,1005209.3405,-1.9896333328796486e-06,1008108.8835,-2899.542999999947,-0.2876220066559851
2023-11-20,188.65,186.89,[],0,100,100,0.0,0.0,0.0,0.0,176.00000000000193,176.00000000000193,176.00000000000193,1005385.3405,0.00017507258137369413,1008108.8835,-2723.542999999947,-0.2701635750440192
2023-11-21,187.84,188.65,[],0,100,100,0.0,0.0,0.0,0.0,-81.00000000000023,-81.00000000000023,-81.00000000000023,1005304.3405,-8.056936961403844e-05,1008108.8835,-2804.542999999947,-0.2781984214108899
2023-11-22,188.51,187.84,[],0,100,100,0.0,0.0,0.0,0.0,66.99999999999875,66.99999999999875,66.99999999999875,1005371.3405,6.664426357568184e-05,1008108.8835,-2737.542999999947,-0.27155231392224377
2023-11-24,187.17,188.51,[],0,100,100,0.0,0.0,0.0,0.0,-134.00000000000034,-134.00000000000034,-134.00000000000034,1005237.3405,-0.00013329296890503026,1008108.8835,-2871.542999999947,-0.28484452889953593
2023-11-27,186.99,187.17,[],0,100,100,0.0,0.0,0.0,0.0,-17.99999999999784,-17.99999999999784,-17.99999999999784,1005219.3405,-1.7906379352112427e-05,1008108.8835,-2889.542999999947,-0.2866300503143961
2023-11-28,187.6,186.99,[],0,100,100,0.0,0.0,0.0,0.0,60.99999999999852,60.99999999999852,60.99999999999852,1005280.3405,6.068143217851462e-05,1008108.8835,-2828.542999999947,-0.2805791166307034
2023-11-29,186.57,187.6,[],0,100,100,0.0,0.0,0.0,0.0,-103.00000000000011,-103.00000000000011,-103.00000000000011,1005177.3405,-0.00010246423096939313,1008108.8835,-2931.542999999947,-0.2907962669490698
2023-11-30,187.15,186.57,[],0,100,100,0.0,0.0,0.0,0.0,58.00000000000125,58.00000000000125,58.00000000000125,1005235.3405,5.7699596271137e-05,1008108.8835,-2873.542999999947,-0.28504292016785376
2023-12-01,188.44,187.15,[],0,100,100,0.0,0.0,0.0,0.0,128.9999999999992,128.9999999999992,128.9999999999992,1005364.3405,0.0001283199250412849,1008108.8835,-2744.542999999947,-0.2722466833613561
2023-12-04,186.63,188.44,[],0,100,100,0.0,0.0,0.0,0.0,-181.00000000000023,-181.00000000000023,-181.00000000000023,1005183.3405,-0.0001800504431697906,1008108.8835,-2925.542999999947,-0.2902010931441164
2023-12-05,190.62,186.63,[],0,100,100,0.0,0.0,0.0,0.0,399.0000000000009,399.0000000000009,399.0000000000009,1005582.3405,0.00039686375096526736,1008108.8835,-2526.542999999947,-0.25062203511471653
2023-12-06,189.52,190.62,[],0,100,100,0.0,0.0,0.0,0.0,-109.99999999999943,-109.99999999999943,-109.99999999999943,1005472.3405,-0.00010939533484493886,1008108.8835,-2636.542999999947,-0.2615335548721952
2023-12-07,191.47,189.52,[],0,100,100,0.0,0.0,0.0,0.0,194.99999999999886,194.99999999999886,194.99999999999886,1005667.3405,0.00019391989771102606,1008108.8835,-2441.542999999947,-0.24219040621121032
